distance_min,distance_max,distance_mean,distance_delta,variance,st_des,autocorrelation,above_Threshold,above_Median,below_Threshold,below_Median,crossing_m,sample_entropy,variation_coef,fft_power,fft_std,fft_mean,presence
44.1764705882353,103.4078431372549,63.55874509803918,10.03921568627451,133.54693994,11.5562511196,0.53330245112,58.7497647059,56,58.7497647059,44,10,0.26659314243,0.181820001352,41732610.1838,644.054699189,50.1960784314,1
26.105882352941176,144.5686274509804,68.21831372549013,11.043137254901964,268.422045077,16.383590726,-0.0733354429528,55.0463529412,56,55.0463529412,44,24,0.46235248251,0.240164111824,49221603.7263,698.990519682,60.2352941176,1
55.219607843137254,97.3843137254902,70.32486274509799,8.02745098039216,10.6106878032,3.25740507201,-0.0178510285717,69.3510196078,16,69.3510196078,84,2,0.52003574909,0.0463193946615,49561970.0792,701.24532402,62.2470588235,1
69.27058823529411,72.28235294117647,70.81662745098033,1.0039215686274474,0.351137906959,0.592568904819,0.214883197826,70.816627451,55,70.816627451,45,0,0.648296614395,0.00836765214821,50153458.6144,704.695735347,70.2745098039,1
68.26666666666667,74.29019607843138,70.80658823529407,0.0,1.178287391,1.0854894707,0.640194183909,70.8065882353,43,70.8065882353,57,0,0.627417474052,0.0153303456324,50147512.2491,704.653543071,70.2745098039,1
30.12156862745098,104.41176470588235,70.69901960784304,32.12941176470588,274.400225567,16.5650302012,0.0365650865421,49.6760392157,43,49.6760392157,57,35,0.997259794408,0.234303534803,52727515.9908,722.728616549,70.2745098039,1
20.08235294117647,125.49411764705883,70.26776470588224,9.03529411764707,477.726242547,21.8569495252,-0.0355233165362,39.0545882353,40,39.0545882353,60,30,1.23371477352,0.311052295696,54152849.9931,730.563447392,88.3490196078,1
21.08627450980392,104.41176470588235,67.37588235294112,11.047058823529412,240.69917797,15.5144828457,-0.0784844962522,56.8744313725,56,56.8744313725,44,17,0.713176462436,0.230267601758,47802087.0081,687.601724499,72.2823529412,1
43.17254901960784,236.92549019607844,74.55368627450973,-4.015686274509804,509.400306557,22.5698982399,-0.118546806569,50.8301568627,25,50.8301568627,75,30,1.37806386198,0.302733498069,60676524.4368,772.965758863,96.3803921569,1
17.070588235294117,125.49411764705883,66.76141176470585,-10.043137254901964,126.739391532,11.2578591008,0.0369523325905,63.7194117647,66,63.7194117647,34,6,0.629777566627,0.16862823603,45838254.9235,673.887108637,65.2588235294,1
43.17254901960784,86.34117647058824,58.739803921568516,-3.0117647058823565,85.178465321,9.22921802327,0.563796350402,56.2098039216,28,56.2098039216,72,6,0.133147097481,0.157120341014,35355430.3007,592.035075815,55.2156862745,1
52.20392156862745,54.21176470588235,52.80627450980381,0.0,0.302357554787,0.549870489103,0.41768707483,52.8062745098,57,52.8062745098,43,0,0.573879104229,0.0104129763784,27888049.8516,525.504756485,52.2039215686,1
52.20392156862745,53.207843137254905,52.6155294117646,0.0,0.24380097501,0.493762063154,0.264226236175,52.6155294118,41,52.6155294118,59,0,0.507899999985,0.00938434087186,27686377.3626,523.582394851,52.2039215686,1
52.20392156862745,72.28235294117647,53.40862745098028,1.0039215686274545,7.09532395233,2.66370492967,0.028293135436,53.408627451,5,53.408627451,95,0,0.394914897213,0.0498740569978,28595768.1015,532.195858296,52.2039215686,1
50.2,109.43137254901961,56.26023529411755,0.0,97.7199980069,9.8853425842,-0.0299622658366,52.3146666667,11,52.3146666667,89,8,0.276064066348,0.175707451853,32629340.7336,568.737490205,53.2078431373,1
40.16078431372549,124.49019607843137,57.404980392156766,-1.0039215686274474,187.392699994,13.6891453347,0.2734700626,51.0097647059,14,51.0097647059,86,12,0.167331890003,0.238466161667,34827244.7382,587.832627501,52.2039215686,1
27.109803921568627,124.49019607843137,62.65650980392148,24.094117647058823,340.810736515,18.4610600052,0.167424179513,49.4544313725,36,49.4544313725,64,22,0.108726813808,0.294639137465,42666489.5732,651.10647847,52.2039215686,1
51.2,74.29019607843138,54.20176470588224,-3.0117647058823493,31.2534352557,5.59047719391,0.473515800613,54.2017647059,14,54.2017647059,86,0,0.0821308270374,0.103141977466,29690847.3249,542.189595821,54.2117647059,1
50.19607843137255,52.20392156862745,51.46101960784304,-1.0039215686274474,0.556741044214,0.746150818678,0.768904520534,51.4610196078,44,51.4610196078,56,0,0.324835373708,0.0144993399735,26487932.8012,512.009842274,52.2039215686,1
50.19607843137255,51.2,50.928941176470495,0.0,0.198648913495,0.445700475089,0.288064693153,50.9289411765,73,50.9289411765,27,0,0.359452723503,0.0087514184429,25939556.9827,506.728852373,51.2,1
50.19607843137255,51.2,51.17992156862736,0.0,0.0197540269127,0.140549019608,-0.021241149521,51.1799215686,98,51.1799215686,2,0,0.0642550004051,0.00274617497058,26194041.258,509.233711158,51.2,1
51.2,52.20392156862745,51.57145098039206,0.0,0.234931820069,0.484697658411,0.395564660871,51.5714509804,37,51.5714509804,63,0,0.40722103481,0.00939856546979,26598494.8804,513.189544715,51.2,1
51.2,53.207843137254905,52.16376470588226,1.0039215686274474,0.0588589373318,0.242608609352,0.334917528655,52.1637647059,95,52.1637647059,5,0,0.0678782383296,0.00465090299215,27211172.0723,519.124532962,51.2,1
52.20392156862745,105.41568627450981,57.0235294117646,1.0039215686274545,132.238362476,11.4994940096,0.349954410418,50.3371372549,19,50.3371372549,81,12,0.170350643085,0.201662263423,33839212.6905,579.367653117,52.2039215686,1
17.070588235294117,126.49803921568628,70.53882352941166,31.125490196078424,475.318824452,21.8018078253,0.181277449408,42.5985882353,38,42.5985882353,62,31,1.26694760349,0.3090752969,54510444.4937,736.392130841,53.2078431373,1
